analysis_type,rayon_name,h3_index,category,ad_count,avg_price_kvm,median_price_kvm,resolution,period
geom,Xətai rayonu,862ce581fffffff,Yeni tikili,2,4170.549860205032,4170.549860205032,6,2026-05
geom,Binəqədi rayonu,862ce580fffffff,Yeni tikili,2,2480.5555555555557,2480.5555555555557,6,2026-04
geom,Nərimanov rayonu,862ce580fffffff,Yeni tikili,2,3079.5180722891564,3079.5180722891564,6,2026-04
geom,Nərimanov rayonu,862ce581fffffff,Köhnə tikili,1,4266.666666666667,4266.666666666667,6,2026-04
geom,Nərimanov rayonu,862ce581fffffff,Yeni tikili,2,3268.5787671232874,3268.5787671232874,6,2026-04
geom,Nəsimi rayonu,862ce581fffffff,Yeni tikili,12,3450.360791826309,3400.0,6,2026-04
geom,Nizami rayonu,862ce58e7ffffff,Köhnə tikili,1,2612.5,2612.5,6,2026-04
geom,Nizami rayonu,862ce58e7ffffff,Yeni tikili,2,2248.792270531401,2248.792270531401,6,2026-04
geom,Sabunçu rayonu,862ce58efffffff,Yeni tikili,1,1900.0000000000002,1900.0000000000002,6,2026-04
geom,Xətai rayonu,862ce581fffffff,Yeni tikili,4,3737.585227272727,3823.958333333333,6,2026-04
geom,Xətai rayonu,862ce58c7ffffff,Yeni tikili,1,2697.3684210526317,2697.3684210526317,6,2026-04
geom,Xətai rayonu,862ce58e7ffffff,Köhnə tikili,2,2452.9411764705883,2452.9411764705883,6,2026-04
geom,Yasamal rayonu,862ce5807ffffff,Yeni tikili,2,2588.541666666667,2588.541666666667,6,2026-04
geom,Yasamal rayonu,862ce5817ffffff,Yeni tikili,1,3000.0,3000.0,6,2026-04
geom,Yasamal rayonu,862ce581fffffff,Yeni tikili,2,2880.299145299145,2880.299145299145,6,2026-04
geom,Abşeron rayonu,862ce5b87ffffff,Köhnə tikili,2,1787.5,1787.5,6,2026-03
geom,Binəqədi rayonu,862ce5807ffffff,Köhnə tikili,53,1945.4865821529613,2254.5454545454545,6,2026-03
geom,Binəqədi rayonu,862ce5807ffffff,Yeni tikili,47,1892.7315700046759,2307.6923076923076,6,2026-03
geom,Binəqədi rayonu,862ce580fffffff,Köhnə tikili,69,1934.8756944856386,2447.0588235294117,6,2026-03
geom,Binəqədi rayonu,862ce580fffffff,Yeni tikili,67,1890.6134112209668,2406.0150375939847,6,2026-03
geom,Binəqədi rayonu,862ce582fffffff,Köhnə tikili,4,2051.8581081081084,1999.5495495495495,6,2026-03
geom,Binəqədi rayonu,862ce582fffffff,Yeni tikili,6,1360.5464109533877,1390.0,6,2026-03
geom,Binəqədi rayonu,862ce5877ffffff,Yeni tikili,1,11.0,11.0,6,2026-03
geom,Nərimanov rayonu,862ce5807ffffff,Köhnə tikili,8,2512.0610763244695,2856.1862244897957,6,2026-03
geom,Nərimanov rayonu,862ce5807ffffff,Yeni tikili,24,1274.2078566694406,11.078088578088579,6,2026-03
