h3_index,ad_count,avg_price,median_price,resolution
862ce581fffffff,5279,226459.60409168404,169000.0,6
862ce5807ffffff,4363,157645.96561998624,155000.0,6
862ce58e7ffffff,3267,161841.3725130089,169000.0,6
862ce580fffffff,1806,168963.3183831672,184700.0,6
862ce58c7ffffff,853,155467.44314185227,155000.0,6
862ce5817ffffff,774,183808.9715762274,175000.0,6
862ce5957ffffff,324,86913.22839506173,73750.0,6
862ce58efffffff,270,160344.2925925926,155000.0,6
862ce586fffffff,241,265015.52282157674,225000.0,6
862ce5857ffffff,160,152852.01875,140000.0,6
862ce58afffffff,108,143275.2037037037,122000.0,6
862ce58cfffffff,81,88107.77777777778,110000.0,6
862ce582fffffff,80,98561.25,102000.0,6
862ce5827ffffff,57,68504.21052631579,72000.0,6
862ce598fffffff,40,117637.5,116500.0,6
862ce5977ffffff,26,72387.65384615384,65750.0,6
862ce5b87ffffff,23,269499.95652173914,177000.0,6
862ce5847ffffff,19,63794.21052631579,67500.0,6
862c0b8d7ffffff,15,143405.53333333333,86805.0,6
862ce58f7ffffff,13,165503.84615384616,159000.0,6
862ce58a7ffffff,13,428723.07692307694,1400.0,6
862ce5877ffffff,11,80822.72727272728,85000.0,6
862ce5b8fffffff,11,336090.9090909091,193000.0,6
862ce5967ffffff,10,155530.5,151050.0,6
862ce5bb7ffffff,10,100300.0,109500.0,6
862ce5ba7ffffff,9,314506.1111111111,220000.0,6
862ce5947ffffff,6,151833.33333333334,103000.0,6
862ce595fffffff,6,281625.0,285000.0,6
862ce584fffffff,4,29225.0,25500.0,6
862ce5bafffffff,4,727650.0,710000.0,6
862ce5907ffffff,3,99000.0,88000.0,6
862ce585fffffff,3,136806.66666666666,120000.0,6
862ce5b37ffffff,3,1137000.0,741000.0,6
862ce5aafffffff,3,58333.333333333336,55000.0,6
862c0b6cfffffff,2,579500.0,579500.0,6
862ce590fffffff,2,38250.5,38250.5,6
862c0b69fffffff,1,42000.0,42000.0,6
862ce594fffffff,1,86500.0,86500.0,6
862ce5aa7ffffff,1,56000.0,56000.0,6
862ce5ab7ffffff,1,198000.0,198000.0,6
862c0b6c7ffffff,1,350.0,350.0,6
862ce5867ffffff,1,200000.0,200000.0,6
872ce5802ffffff,1618,165134.7064276885,165000.0,7
872ce581cffffff,1601,233473.6614615865,180000.0,7
872ce581dffffff,1414,209903.1838755304,205500.0,7
872ce5819ffffff,1350,227483.53185185185,2625.0,7
872ce5803ffffff,1294,171147.23570324574,143000.0,7
872ce58e3ffffff,977,173095.85158648924,177000.0,7
872ce580effffff,869,182112.5926352129,198000.0,7
872ce580affffff,798,156685.95238095237,135000.0,7
872ce58c4ffffff,769,162561.57477243172,163000.0,7
872ce58e2ffffff,709,155327.05218617772,168000.0,7
872ce58e1ffffff,700,163968.1242857143,165000.0,7
872ce5800ffffff,689,129628.37155297532,145000.0,7
872ce58e5ffffff,650,156004.44,168500.0,7
872ce5801ffffff,623,158852.21348314607,164000.0,7
872ce5818ffffff,494,236448.995951417,3500.0,7
872ce5811ffffff,479,222319.29436325678,205000.0,7
872ce5952ffffff,287,77186.89895470384,74000.0,7
872ce5806ffffff,171,110062.67251461989,144000.0,7
872ce58c5ffffff,164,129062.91463414633,132000.0,7
872ce5869ffffff,163,305741.03680981597,279000.0,7
872ce5813ffffff,150,168411.65333333332,169000.0,7
872ce581effffff,149,312622.0268456376,195000.0,7
872ce5852ffffff,146,157538.30821917808,140500.0,7
872ce58ecffffff,142,163651.338028169,160000.0,7
872ce580cffffff,140,150561.62142857144,145750.0,7
872ce5815ffffff,128,108136.9921875,155500.0,7
872ce5805ffffff,105,147278.57142857142,155000.0,7
872ce5808ffffff,85,133746.0823529412,146000.0,7
872ce58e0ffffff,70,165103.9714285714,140000.0,7
872ce58eeffffff,69,145481.15942028986,139000.0,7
872ce580bffffff,65,201450.26153846155,192000.0,7
872ce586cffffff,58,169160.41379310345,174114.0,7
872ce58e6ffffff,51,101794.3137254902,119500.0,7
872ce58acffffff,47,198725.74468085106,900.0,7
872ce58adffffff,45,192491.42222222223,197000.0,7
872ce582affffff,44,118803.40909090909,125000.0,7
872ce58c8ffffff,32,63515.3125,75000.0,7
872ce58cbffffff,31,100540.0,118000.0,7
872ce5812ffffff,29,177120.6551724138,157000.0,7
872ce5821ffffff,24,55874.583333333336,22725.0,7
872ce58c0ffffff,22,121668.18181818182,118000.0,7
872ce582cffffff,22,66206.36363636363,65500.0,7
872ce598bffffff,21,128261.90476190476,140000.0,7
872ce58e8ffffff,17,107235.29411764706,115000.0,7
872ce5950ffffff,17,266112.9411764706,65000.0,7
872ce5829ffffff,16,88753.125,73750.0,7
872ce58caffffff,15,116933.33333333333,115000.0,7
872ce5988ffffff,15,107600.0,103500.0,7
872c0b8d2ffffff,15,143405.53333333333,86805.0,7
872ce5840ffffff,13,65937.69230769231,88800.0,7
872ce58c6ffffff,13,115307.69230769231,125000.0,7
872ce5b85ffffff,11,234590.9090909091,170000.0,7
872ce58f1ffffff,11,172550.0,172000.0,7
872ce5953ffffff,10,65580.0,71400.0,7
872ce5b81ffffff,10,286900.0,173500.0,7
872ce5825ffffff,9,51427.77777777778,62000.0,7
872ce5820ffffff,9,88344.44444444444,105000.0,7
872ce586dffffff,9,177133.11111111112,189000.0,7
872ce58a5ffffff,9,62022.22222222222,1200.0,7
872ce5962ffffff,9,172805.55555555556,155380.0,7
872ce5971ffffff,8,38440.0,17750.0,7
872ce582effffff,8,111937.5,107500.0,7
872ce5946ffffff,7,70099.85714285714,450.0,7
872ce582bffffff,7,79307.14285714286,71000.0,7
872ce5973ffffff,7,85837.14285714286,105000.0,7
872ce58eaffffff,7,83742.85714285714,90000.0,7
872ce5871ffffff,6,90083.33333333333,106500.0,7
872ce5823ffffff,6,87041.66666666667,102450.0,7
872ce5b88ffffff,6,276333.3333333333,214000.0,7
872ce5943ffffff,5,158400.0,87000.0,7
872ce5874ffffff,5,71600.0,72000.0,7
872ce5bb0ffffff,5,120600.0,125000.0,7
